engine threads runtime
spark 96 192840
spark 96 190630
spark 96 215813
giraph 96 183633
giraph 96 181567
giraph 96 176776
spark 64 257874
spark 64 279322
spark 64 332919
giraph 64 245697
giraph 64 249600
giraph 64 258566
spark 32 476857
spark 32 488704
spark 32 493031
giraph 32 427834
giraph 32 440042
giraph 32 441035
spark 16 604979
spark 16 677786
spark 16 676142
giraph 16 595187
giraph 16 582896
giraph 16 588906
spark 8 937070
spark 8 1009863
spark 8 1194015
giraph 8 999330
giraph 8 972106
giraph 8 960177
spark 4 2483082
spark 4 2029382
spark 4 2209928
giraph 4 1811008
giraph 4 1809115
giraph 4 1759050
